scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:39,amazon.in,pleated skirt,1,1,1,no,B096MZ9CLJ,OTABU,OTABU Women's/Girl's Midi Skirt,₹284,INR,284,4.0 out of 5 stars,4.0,"1,256 ratings",1256,women,,,,,,https://www.amazon.in/OTABU-Womens-Girls-Skirt-Black/dp/B096MZ9CLJ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-1,https://m.media-amazon.com/images/I/61KYgOYuphL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,2,2,no,B08W2JJG57,OTABU,OTABU Women's Midi Skirt,₹284,INR,284,3.7 out of 5 stars,3.7,747 ratings,747,women,,,,,,https://www.amazon.in/OTABU-Pleated-Skirt-34-Black/dp/B08W2JJG57/ref=sr_1_2?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-2,https://m.media-amazon.com/images/I/61ry-ewvLyL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,3,3,no,B0CSNJDYK9,STARPICK ENTERPRISE,STARPICK ENTERPRISE-Women Solid Pleated Skirt Midi,₹449,INR,449,3.9 out of 5 stars,3.9,48 ratings,48,women,,,,,solid,https://www.amazon.in/STARPICK-ENTERPRISE-Women-Solid-Pleated-Skirt/dp/B0CSNJDYK9/ref=sr_1_3?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-3,https://m.media-amazon.com/images/I/51Ea6igVNtL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,4,4,no,B0BTDMFDV7,Mrugneni,Mrugneni Pleated Short Tennis Skirt,₹689,INR,689,2.8 out of 5 stars,2.8,107 ratings,107,,,,,,,https://www.amazon.in/Mrugneni-Pleated-Short-Tennis-Skirt/dp/B0BTDMFDV7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-4,https://m.media-amazon.com/images/I/61bjuNu0EML._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,5,5,no,B0CPLWF283,KZULLY,KZULLY Women Women's Skirts,₹399,INR,399,3.8 out of 5 stars,3.8,413 ratings,413,women,,,,,,https://www.amazon.in/KZULLY-Pleated-Vintage-Elastic-Clothing/dp/B0CPLWF283/ref=sr_1_5?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-5,https://m.media-amazon.com/images/I/61KVZCJ5JHL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,6,6,no,B0BZPM6DFJ,ALYNE,ALYNE Girl's/Women's Classic Stretchy All Time Classy Flared Skater Skirt,₹286,INR,286,4.1 out of 5 stars,4.1,337 ratings,337,women,basic,,red,,,https://www.amazon.in/ALYNE-Womens-Classic-Stretchy-Classy/dp/B0BZPM6DFJ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-6,https://m.media-amazon.com/images/I/51ZhbqJinoL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,7,7,no,B0CDV483NV,FRAULEIN,FRAULEIN Women's Flared Pleated Maxi Skirt High Waist A-Line with Pockets and Belt Accessories [Small-Plus Size],₹569,INR,569,4.0 out of 5 stars,4.0,580 ratings,580,women,,,red,,,https://www.amazon.in/FRAULEIN-Womens-Pleated-Pockets-Accessories/dp/B0CDV483NV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-7,https://m.media-amazon.com/images/I/61-e58B8BiL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,8,8,no,B0D94CMYQP,KZULLY,KZULLY Women's Polyester Maxi Skirts,₹399,INR,399,3.9 out of 5 stars,3.9,201 ratings,201,women,,,,polyester,,https://www.amazon.in/KZULLY-Polyester-Western-Womens-Skirts/dp/B0D94CMYQP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-8,https://m.media-amazon.com/images/I/71Pm5eoBvEL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,9,9,no,B0GPWY63DS,Mrugneni,"Mrugneni Women's High Waisted Pleated Mini Skirt, Cotton Blend Tennis Skirt with Side Zip Closure, XS-XXL",₹685,INR,685,1.0 out of 5 stars,1.0,1 ratings,1,women,,,,cotton,,https://www.amazon.in/Mrugneni-Waisted-Pleated-Closure-Regular/dp/B0GPWY63DS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-9,https://m.media-amazon.com/images/I/51lrNCyrZkL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,10,10,no,B0D8YR4KJD,OTABU,OTABU | Skirt for Women | Beautiful Colorful Printed | Stylish Pleated A-Line Design | Flexible Elastic Waist | Lightweigh...,₹379,INR,379,3.7 out of 5 stars,3.7,103 ratings,103,women,,,,,printed,https://www.amazon.in/OTABU-Effortlessly-Beautiful-Pleated-Multicolour/dp/B0D8YR4KJD/ref=sr_1_10?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-10,https://m.media-amazon.com/images/I/81WdIGmaK4L._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,11,11,no,B0DBLKWJJH,KZULLY,KZULLY | Floral Printed Maxi Skirt | Comfortable Elastic Waist | Stylish Morden and Comfortable Looking | Fashionable and ...,₹399,INR,399,4.0 out of 5 stars,4.0,326 ratings,326,,,,,,floral,https://www.amazon.in/KZULLY-Womens-Crepe-Western-Skirt/dp/B0DBLKWJJH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-11,https://m.media-amazon.com/images/I/91LqHtq1IsL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,12,12,no,B0F3J862S6,GRECIILOOKS,"GRECIILOOKS Elegant High Waisted Pleated Midi Skirt for Women, A Line Polyblend Fabric Flared Skirt with Back Zipper, Idea...",₹689,INR,689,4.9 out of 5 stars,4.9,26 ratings,26,women,,,red,,,https://www.amazon.in/GRECIILOOKS-Elegant-Waisted-Polyblend-GL-Sk-551-S-Black/dp/B0F3J862S6/ref=sr_1_12?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-12,https://m.media-amazon.com/images/I/51K6rI+AOvL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,13,13,no,B08W2T2W51,OTABU,OTABU Women's Midi Skirt,₹284,INR,284,3.7 out of 5 stars,3.7,747 ratings,747,women,,,,,,https://www.amazon.in/OTABU-Pleated-Skirt-32-Wine/dp/B08W2T2W51/ref=sr_1_13?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-13,https://m.media-amazon.com/images/I/61zKzE+GSUS._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,14,14,no,B0CNLV7FQR,KZULLY,KZULLY Women Women's Skirts,₹399,INR,399,4.0 out of 5 stars,4.0,139 ratings,139,women,,,,,,https://www.amazon.in/KZULLY-Marble-Elegance-Printed-Masterpiece/dp/B0CNLV7FQR/ref=sr_1_14?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-14,https://m.media-amazon.com/images/I/611n63LBJJL._AC_UL320_.jpg,
2026-04-26T21:17:39,amazon.in,pleated skirt,1,15,15,no,B0BY2MJRKS,Mrugneni,Mrugneni Short Pleated Tennis Skirt,₹685,INR,685,2.5 out of 5 stars,2.5,43 ratings,43,,,,,,,https://www.amazon.in/Mrugneni-Short-Pleated-Tennis-Skirt/dp/B0BY2MJRKS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.d4iTYsa6EsKZ7rOAzABuek-2BK2I1yDMgfduYoqYoVA54R6K4pIGA9aCzk-F2BRaLTLHEMlUN1H9rfp7ahR5_FQQIOo-u7lsz9Pw8rI9xoWbfLKpnquPrO2JIQDHkO2kfq8gV-kLIhDV7cD8UhA_g9GCvFDxGCAWjvV_NJ22F3Ie50aK6sM5mHXvIhYLp4sxcRdF2J73GWpcyHIYIXBULhNGgawlXNzhhvbxsLY8qSCLI3aI9zBgoau4t0yGK-2FZiY5HS9M30AP5rnDT53tuXZ06RTF3oOUdD3SzJfEyMY.HKpVKMRBNF2osJS2Uta6En6uvl6WV-drqntC88fshLs&dib_tag=se&keywords=pleated+skirt&qid=1777209457&sr=8-15,https://m.media-amazon.com/images/I/51kq6dcXyJL._AC_UL320_.jpg,
